dcode,density
1001,7778.54
1002,7641.26
1003,757.03
1004,8125.45
1005,4998.53
1006,4420.34
1007,4990.2
1008,20930.61
1009,6221.79
1010,2221.27
1011,1440.53
1012,4505.82
1013,14673.02
1014,6900.68
1015,11836.74
1016,10137.54
1017,5539.48
1018,11167.91
1019,3476
1020,8498.91
1021,1532.83
1022,6887.01
1023,4336.64
1024,4911023
1025,7771.83
1026,13504.19
1027,5731.27
1028,7932.34
1029,10456.13
1030,4684.12
1031,7414.71
1032,3460.28
1033,7052.18
1034,5187.22
1035,5550.01
1036,4562.7
1037,9505.33
1038,5217.4
1039,6476.8
1040,4328.51
1041,4401.43
1042,4635.89
1043,3684.1
1044,3410.65
1045,5497.02
1046,1865.07
1047,4633.19
1048,1569.09
1049,4013.89
1050,2953.95
